Player Name,Period Name,Period Number,Date,Position Name,Meta Energy (KJ/kg),Total Player Load,Total Distance,Equivalent Distance,AVG MP,Player Load Per Minute,Meterage Per Minute,Equivalent Distance /min,Time Acceleration /minute,Time Deceleration /minute,HSR time/ minute,HSR dist/min,V b4 per minute,HI MP duration >26watt / min,HI MP Distance > 26w/min,HI MP time/min < HSR,HI MP distance/min < HSR,High COD / minute,Active rest/minute,MP Aerobic Running / minute,Total Duration,Acceleration B2-3 Duration (Gen 2),Deceleration B2-3 Duration (Gen 2),Acceleration B2-3 Distance (Gen 2),Deceleration B2-3 Distance (Gen 2),Velocity Band 1 Total Duration,Velocity Band 2 Total Duration,Velocity Band 3 Total Duration,Velocity Band 4 Total Duration,Velocity Band 5 Total Duration,Velocity Band 6 Total Duration,Velocity Band 1 Total Distance,Velocity Band 2 Total Distance,Velocity Band 3 Total Distance,Velocity Band 4 Total Distance,Velocity Band 5 Total Distance,Velocity Band 6 Total Distance,HSR  duration,HSR distance,HI MP Time > 26 watt,HI MP distance > 26w,HI MP  Duration < HSR,HI MP distance < HSR,Tot CoD,Tot Hi CoD,Metabolic Power Band 1 Total Duration,Metabolic Power Band 1 Total Distance,Acceleration B2-3 Total Efforts (Gen 2),Deceleration B2-3 Total Efforts (Gen 2),Velocity Band 6 Total Effort Count,Passive rest/ Minute,Maximum Velocity,Max Acceleration,Max Deceleration,Average Velocity,Velocity Band 6 Avg Effort Duration,Velocity Band 6 Avg Effort Distance,Average Player Load,AVG PL/ minute,Explosive Efforts,Active/Passive Ratio,Max Vel (kh/p),% True Max Vel,Duration (mins),% of Dist,% of HSR,% of Player Load,% of Sprint Dist,% of Exp EFFS,% of Volume,% of Intensity
Jack Andrus,Session,0,44418,Fullback,11.9,410,2453.7,2751.9,5.2,10.8,64.9,72.8,0.4,0.1,0.1,0.6,0.2,0,3,0.6,2.4,0.4,9,10.7,0.02625,0.000185185,0.000138889,60.3,10.5,0.004108796,0.016365741,0.005625,8.10185E-05,3.47222E-05,0,9.9,1081.6,1306.8,32.5,22.7,0,3.9,22.7,28.3,114.6,0.000277778,91.9,474.6,25.4,0.016990741,590.8,26,38,0,38.8,6,3.5,-4.1,1.1,0,0,136.7,10.8,34,0.231958763,21.6,75.94936709,37.8,24.7112247,5.215661589,37.90801839,0,70.8655303,27.740087,66.04782618
Henry Bernstein,Session,0,44418,Midfielder,24,681.2,4948.8,5557.1,5.2,8.9,64.9,72.9,1.1,0,0,0.3,0.4,0,3.7,0.9,3.4,0.3,10.8,8.5,0.052962963,0.000925926,0.000289352,115,20.8,0.009988426,0.031979167,0.010590278,0.000324074,3.47222E-05,0,23.2,2366.4,2409.4,126.9,22.8,0,3.8,22.8,71.7,283.5,0.000775463,260.7,329.6,18.9,0.034270833,1315.7,60,64,0,38.8,6.4,3.1,-5.7,1.1,0,0,136.2,8.9,56,0.278350515,23.04,83.11688312,76.26666667,48.77208441,13.15838037,57.85188712,0,78.83407817,39.72328601,46.87625535
Jack Brown,Session,0,44418,Midfielder,28.7,821.7,6088.9,6832.4,6.3,10.8,79.9,89.7,0.6,0.1,0.1,0.3,0.5,1.15741E-05,5.2,1.2,4.9,0.5,14.3,9.2,0.052905093,0.000555556,0.000636574,83.6,36.7,0.00787037,0.031712963,0.01275463,0.000462963,4.62963E-05,0,14.7,2808.8,3053.3,186.7,25.1,0,4.4,25.1,97.6,398.4,0.001076389,373.3,691.4,31.5,0.029791667,1457.2,56,90,0,33.8,6.5,3.5,-4.2,1.3,0,0,164.3,10.8,69,0.423076923,23.4,78.31325301,76.18333333,55.57762995,10.20445765,68.82959636,0,128.9525443,52.71284565,62.27288701
Devon Decorte,Session,0,44418,Forward,29.9,763.3,6221.6,6903.3,6.5,10,81.6,90.5,0.4,0,0.1,0.5,0.4,1.15741E-05,4.5,1,4,0.4,12.7,12.1,0.052962963,0.000381944,0.000486111,74.7,26.1,0.008217593,0.028414352,0.015891204,0.000335648,5.78704E-05,0,15.1,2256.8,3781.2,132.3,35.3,0,5.9,35.3,85.6,342.8,0.000914352,307.5,437.4,26,0.028634259,1132.1,53,74,0,32.4,6.8,3.5,-4.3,1.4,0,0,152.7,10,50,0.391975309,24.48,85,76.26666667,53.37686947,6.67029523,64.7068043,0,55.55555556,36.06190491,42.55556961
Jaden Francis,Session,0,44418,Forward,26.5,833.1,5551.2,6362.9,5.8,10.9,72.6,83.2,0.8,0.1,0.1,0.3,0.6,1.15741E-05,5.8,1.3,5.5,0.4,11.5,9,0.053078704,0.000671296,0.000763889,186.5,49.4,0.010532407,0.029988426,0.011909722,0.000543981,4.62963E-05,0,33.7,2398,2880.8,214.7,24.7,0.5,4.1,25.2,107.1,443.6,0.00119213,418.4,434.1,22,0.032615741,1313.4,79,88,0,36.9,6.9,3.8,-4.5,1.2,0,0,166.6,10.9,51,0.311653117,24.84,80.23255814,76.43333333,56.28591267,5.440656632,92.56666667,0.376456671,56.66666667,42.26727186,49.76957437
Antonio Horrozoglou,Session,0,44418,ATT Midfielder,26,715.4,5381.4,6006.2,5.7,9.4,70.6,78.7,0.3,0,0,0.3,0.4,0,3.9,0.9,3.7,0.4,13.2,9.2,0.052962963,0.000243056,0.000277778,64.9,26.6,0.009016204,0.031782407,0.011689815,0.000381944,3.47222E-05,0,20.1,2510.3,2675,153.2,22.2,0,3.7,22.2,73.5,300.9,0.000798611,278.7,454.7,24.4,0.031296296,1228.4,46,70,0,35.5,6.5,3.9,-3.7,1.2,0,0,143.1,9.4,60,0.371830986,23.4,82.27848101,76.26666667,51.90223486,5.552218657,58.62155256,0,154.2629108,54.06778337,63.80376535
Daniel Krueger,Session,0,44418,Center Back,25.5,712.9,5361.3,5910.1,5.6,9.3,70.3,77.5,0.3,0,0.1,0.6,0.4,0,3.8,0.8,3.3,0.3,12.4,9.3,0.052962963,0.000243056,0.000196759,79.5,20.5,0.009537037,0.031215278,0.011701389,0.000358796,8.10185E-05,0,19.3,2448.4,2705.2,145.7,42.1,0,7,42.1,69.4,292.5,0.000717593,250.4,479.8,15.7,0.032164352,1304,35,48,0,36.4,6.8,3.8,-3.9,1.2,0,0,142.6,9.3,44,0.340659341,24.48,79.06976744,76.26666667,60.72692793,17.01149675,77.64910435,0,144.6054614,59.99859808,70.80254145
Luke Martelli,Session,0,44418,Fullback,28.9,758.5,5780.7,6655.7,6.3,9.9,75.6,87.1,0.5,0.1,0.1,0.5,1.1,1.15741E-05,7.2,1.6,6.7,0.3,13.1,9.7,0.053078704,0.000462963,0.000462963,155.2,47.2,0.010046296,0.029259259,0.012719907,0.0009375,5.78704E-05,0,23.5,2340.4,3008.2,370.7,31.4,6.4,5.9,37.8,132,551.1,0.001458333,513.3,335.2,16.5,0.03,1087.1,78,101,1,33.9,7.2,3.4,-5.4,1.3,0.9,6.4,151.7,9.9,42,0.386430678,25.92,81.81818182,76.43333333,52.73562997,4.689250514,67.53107227,3.115215378,132.7696046,52.16815454,61.42783134
Gabriel Oksanen,Session,0,44418,Fullback,23.9,738.8,4913.7,5503.4,5.2,9.7,64.4,72.2,0.3,0,0.1,0.4,0.5,0,3.6,0.8,3.3,0.4,11.1,9.1,0.052962963,0.000243056,0.000486111,75.4,22.8,0.014560185,0.026388889,0.011516204,0.000405093,4.62963E-05,0,22.3,2082.3,2618.3,163.7,27.7,0,4.7,27.7,66.9,278,0.000717593,250.3,442.1,23.6,0.033391204,1019,40,75,0,37.8,6.4,3.5,-3.8,1.1,0,0,147.8,9.7,54,0.293650794,23.04,81.01265823,76.26666667,51.32266261,5.80934986,70.33145225,0,143.1267606,54.11804506,63.86307765
Logan Oliver,Session,0,44418,Midfielder,23.5,634,5037.3,5588.4,5.1,8.3,65.9,73.1,0.3,0,0,0,0.4,0,3.8,0.9,3.8,0.2,13.5,7.3,0.053078704,0.000289352,0.00025463,89.1,21.9,0.010856481,0.032662037,0.009108796,0.000381944,0,0,27.1,2744.8,2105.5,159.4,0,0,0,0,72,292.6,0.000833333,292.6,278.7,11,0.033136574,1350.8,54,66,0,37.5,5.5,3.3,-4.7,1.1,0,0,126.8,8.3,34,0.36,19.8,65.47619048,76.43333333,49.34221051,0,54.37020883,0,115.4922463,43.84093313,51.62255536
